MFCC_1,MFCC_2,MFCC_3,MFCC_4,MFCC_5,MFCC_6,MFCC_7,MFCC_8,MFCC_9,MFCC_10,MFCC_11,MFCC_12,MFCC_13,Chroma_1,Chroma_2,Chroma_3,Chroma_4,Chroma_5,Chroma_6,Chroma_7,Chroma_8,Chroma_9,Chroma_10,Chroma_11,Chroma_12,Spectral_1,Spectral_2,Spectral_3,Spectral_4,Spectral_5,Spectral_6,Spectral_7,Zero_Crossing,RMS_Energy,Emotion
-674.0432739257812,93.19879913330078,4.301986217498779,19.790178298950195,9.931772232055664,15.502884864807129,-13.088204383850098,15.532183647155762,-8.582000732421875,-3.891615152359009,1.7384748458862305,-4.608096599578857,0.25648772716522217,0.37229153513908386,0.3788553476333618,0.41199442744255066,0.4453837275505066,0.5048477649688721,0.5922572612762451,0.6324289441108704,0.609262228012085,0.6145156621932983,0.5715014934539795,0.550523042678833,0.44906044006347656,15.622989425254374,13.849249453833645,15.76583789494297,15.100383761614586,17.52664325843134,17.51476505675381,20.14509709116399,0.0520926873802682,0.0031910138204693794,1
-625.9647216796875,113.57195281982422,10.848230361938477,13.100408554077148,7.396046161651611,8.88570499420166,-15.938234329223633,-0.06283175200223923,-13.734075546264648,-4.420191764831543,-3.69065523147583,-5.028749942779541,-3.710111618041992,0.40079551935195923,0.39025333523750305,0.41330429911613464,0.4455285370349884,0.45056402683258057,0.45697861909866333,0.48517152667045593,0.4789019823074341,0.45896926522254944,0.45428597927093506,0.5478005409240723,0.49791160225868225,16.550347779600997,13.249759658487392,14.180567781191181,15.937050096707194,17.89793152018385,17.975344800811218,19.917693128312443,0.049720025831653226,0.004050837364047766,7
-558.0701293945312,132.8870086669922,-13.349967956542969,22.97370147705078,1.2678048610687256,15.068233489990234,-30.665603637695312,17.93979263305664,-22.932313919067383,-15.407127380371094,1.3874715566635132,-13.095475196838379,-1.8243526220321655,0.28468745946884155,0.2077203094959259,0.17408624291419983,0.22277626395225525,0.27591750025749207,0.3621426522731781,0.4920615255832672,0.422086626291275,0.4310702085494995,0.3398006856441498,0.3572917878627777,0.3309498131275177,16.102442113064864,16.585337217038155,18.41135402796796,16.936167914151692,20.078421780746133,19.917059644685615,25.001641952676138,0.056251992984693876,0.005265887826681137,1
-519.572998046875,81.40296936035156,-0.9067028760910034,15.637219429016113,3.3382010459899902,0.7407116889953613,-12.725812911987305,12.474658966064453,-1.405718207359314,-5.555419921875,-1.8316272497177124,-7.133429527282715,-1.1786271333694458,0.34617412090301514,0.321286141872406,0.38697418570518494,0.4693055748939514,0.49821269512176514,0.5108130574226379,0.5477051734924316,0.5797398090362549,0.5282809734344482,0.45109787583351135,0.42182737588882446,0.42689117789268494,18.379621197563615,14.149164518446154,15.633909993516356,16.806953203714496,17.891808497652686,17.68395274696041,22.73699164927195,0.05263273278061224,0.01212244015187025,5
-563.01611328125,114.9704818725586,11.492414474487305,28.899513244628906,-2.370739221572876,20.0057315826416,-20.493867874145508,4.355545997619629,-16.91315460205078,-17.182859420776367,-11.55823802947998,-3.1938722133636475,-10.283855438232422,0.29043057560920715,0.2995830178260803,0.308525413274765,0.2923073172569275,0.30482062697410583,0.3545810878276825,0.441584050655365,0.43497100472450256,0.41503068804740906,0.3569214344024658,0.3460944592952728,0.2908562421798706,17.078507498408054,17.28111774087395,18.405168124822247,16.317596047466516,18.415985425747515,18.944017188813987,24.25336698734215,0.06884765625,0.0063326251693069935,7
-463.1552734375,106.24765014648438,-10.819530487060547,0.8033729791641235,-9.808331489562988,11.855814933776855,-20.353025436401367,7.644560813903809,-15.870665550231934,-22.170520782470703,-0.09705476462841034,-1.2327985763549805,-9.662369728088379,0.394370436668396,0.4100908041000366,0.35322675108909607,0.29612722992897034,0.2982661724090576,0.32308322191238403,0.42280837893486023,0.39461973309516907,0.3222558796405792,0.2745633125305176,0.2824622094631195,0.379475861787796,16.957863412014905,17.097982488992443,17.27983434626773,18.04719374213733,20.854879709432083,20.93130857606473,26.077124362361012,0.07469981527093596,0.018226563930511475,6
-428.9929504394531,133.5123748779297,-32.99563217163086,1.4303747415542603,7.243238925933838,9.848817825317383,-29.990217208862305,4.8368072509765625,-10.747692108154297,-15.339634895324707,-0.476595401763916,-10.573665618896484,-13.854011535644531,0.27626243233680725,0.30823010206222534,0.41881367564201355,0.46820855140686035,0.369988352060318,0.30719318985939026,0.30589601397514343,0.2943313717842102,0.2862112522125244,0.2644388973712921,0.2883473336696625,0.31972429156303406,22.43212278612318,20.00565418951684,20.358715414009595,19.292997805660775,20.9599998318201,22.39396238040162,27.399394925937276,0.045383683170180725,0.022333141416311264,3
-428.60101318359375,130.36512756347656,-14.031880378723145,12.07354736328125,-1.3731807470321655,6.559053897857666,-25.99665069580078,19.063127517700195,-10.99867057800293,-15.013143539428711,-3.7555620670318604,-10.617776870727539,-7.0786542892456055,0.3105734884738922,0.2908121347427368,0.3117983937263489,0.33278512954711914,0.2686804234981537,0.24708250164985657,0.25360116362571716,0.3084324300289154,0.4607106149196625,0.5288618206977844,0.49419134855270386,0.3648531436920166,19.09467164337694,17.116491825736254,19.229905420013154,17.877040084143424,19.860037194512827,20.860947365642097,27.46477690393327,0.05530774915540541,0.020192500203847885,5
-460.28765869140625,105.55339050292969,-7.299278736114502,16.320140838623047,-7.439723968505859,15.963920593261719,-23.682994842529297,13.537853240966797,-22.511960983276367,-18.358137130737305,-1.8301745653152466,-10.388763427734375,-10.395196914672852,0.32327598333358765,0.24391654133796692,0.25695931911468506,0.3194684684276581,0.3313213884830475,0.3193408250808716,0.31113412976264954,0.3144338130950928,0.3741292953491211,0.39625731110572815,0.3855684995651245,0.37285521626472473,15.148491657285412,16.987109696547833,18.19705469769713,17.32229133193239,19.305876056364312,20.225412069968918,28.019824694682676,0.08785912298387097,0.014684070833027363,8
-519.2462158203125,115.55905151367188,7.327284812927246,30.622791290283203,0.003992955666035414,14.313535690307617,-23.348360061645508,-5.563153266906738,-19.255887985229492,-13.199156761169434,-7.132781505584717,-6.00944709777832,-15.787785530090332,0.3174543082714081,0.2981334328651428,0.30086812376976013,0.32702189683914185,0.28516992926597595,0.29027241468429565,0.323761522769928,0.3868679702281952,0.4252675771713257,0.38923394680023193,0.3823614716529846,0.34708917140960693,17.19827037256604,17.105345925536916,17.958042270572637,17.997369183174555,19.1588453825975,19.251947438497165,25.53213970577143,0.07340590533088236,0.010487252846360207,7
